CSIQ,FSLR,ENPH,DQ,JKS,SEDG,SPWR
38.139999,76.169998,144.919998,65.040001,40.310001,24.02,24.02
37.810001,77.400002,152.020004,64.160004,40.299999,24.620001,24.620001
39.43,78.529999,161.990005,61.41,39.959999,26.719999,26.719999
39.389999,76.970001,165.850006,60.5,39.349998,25.370001,25.370001
38.34,78.190002,163.080002,58.700001,41.25,25.41,25.41
37.950001,78.379997,167.300003,56.5,37.139999,25.51,25.51
38.720001,80.190002,170.240005,58.080002,38.369999,27.049999,27.049999
38.689999,84.510002,170.770004,56.48,37.860001,27.780001,27.780001
40.43,87.870003,175.389999,58.66,43.0,27.440001,27.440001
45.5,92.709999,188.330002,66.169998,52.849998,30.68,30.68
47.119999,92.669998,185.710007,66.779999,57.560001,29.889999,29.889999
44.84,90.510002,183.630005,65.019997,56.02,29.219999,29.219999
43.639999,90.169998,183.110001,66.040001,52.07,28.9,28.9
43.080002,90.82,186.410004,62.549999,50.400002,28.809999,28.809999
43.740002,91.190002,188.809998,66.830002,54.349998,29.59,29.59
43.049999,91.269997,181.830002,71.25,60.139999,28.190001,28.190001
41.299999,89.910004,179.720001,68.989998,58.790001,27.58,27.58
40.810001,92.540001,183.800003,67.800003,56.759998,27.92,27.92
43.09,94.290001,185.720001,68.269997,61.900002,29.040001,29.040001
42.040001,92.790001,184.059998,72.349998,61.779999,28.049999,28.049999
39.610001,90.040001,170.789993,68.940002,56.720001,23.940001,23.940001
38.669998,85.599998,165.289993,68.830002,60.259998,23.5,23.5
37.639999,83.489998,163.449997,66.43,58.0,22.65,22.65
37.75,83.050003,165.279999,64.339996,54.209999,23.34,23.34
38.200001,82.68,172.089996,66.080002,56.189999,24.139999,24.139999
40.009998,85.190002,179.789993,79.379997,61.560001,25.43,25.43
39.68,83.68,178.940002,67.669998,60.889999,24.549999,24.549999
39.02,82.949997,178.179993,59.07,56.75,23.75,23.75
38.060001,81.349998,176.679993,56.48,53.669998,23.700001,23.700001
38.310001,81.360001,172.860001,53.75,46.240002,23.110001,23.110001
40.02,83.480003,181.419998,60.360001,53.279999,24.23,24.23
40.709999,83.739998,182.059998,59.389999,52.950001,24.629999,24.629999
40.25,86.040001,189.600006,59.25,53.889999,24.77,24.77
39.869999,88.269997,183.110001,61.029999,54.75,24.18,24.18
41.599998,92.339996,192.619995,60.84,57.09,25.309999,25.309999
41.41,92.209999,193.929993,59.77,55.91,23.02,23.02
40.060001,91.620003,183.449997,58.560001,55.68,23.5,23.5
40.009998,93.150002,179.740005,58.150002,55.18,23.290001,23.290001
40.849998,94.709999,185.559998,60.630001,58.310001,23.93,23.93
42.0,95.75,184.089996,60.84,59.43,24.309999,24.309999
41.48,95.910004,182.289993,57.459999,56.0,23.690001,23.690001
41.599998,96.940002,181.289993,56.610001,53.360001,23.870001,23.870001
38.580002,96.599998,175.0,51.5,45.740002,22.700001,22.700001
37.060001,96.830002,167.539993,49.830002,43.599998,21.98,21.98
34.709999,93.510002,163.479996,48.720001,41.0,21.23,21.23
34.560001,93.650002,162.470001,47.950001,41.209999,21.030001,21.030001
31.99,92.989998,162.889999,45.919998,37.48,20.549999,20.549999
32.360001,94.540001,165.990005,47.080002,40.16,20.940001,20.940001
